name,address,city,state,zip,lat,lng
Seward KOA Journey,31702 Herman Leirer Road,Seward,Alaska,99664,60.076335,-149.492662
La Junta KOA Journey,26680 Highway 50,La Junta,Colorado,81050,37.942354,-103.51516
Valdez KOA Journey,3181 Richardson Hwy,Valdez,Alaska,99686,61.15008,-146.810141
West Palm Beach / Lion Country Safari KOA Journey,2000 Lion Country Safari Road,Loxahatchee-3976,Florida,33470,26.729431,-80.319858
Sheridan / Big Horn Mountains KOA Journey,63 Decker Road,Sheridan,Wyoming,82801,44.843713,-106.835993
Rock Springs / Green River KOA Journey,86 Foothill Boulevard,Rock Springs,Wyoming,82901,41.379272,-108.978176
Wytheville KOA Holiday,231 KOA Road,Wytheville,Virginia,24382,36.960016,-81.101367
Virginia Beach KOA Holiday,1240 General Booth Boulevard,Virginia Beach,Virginia,23451,36.865027,-76.006188
Richmond North / Kings Dominion KOA Holiday,10061 Kings Dominion Blvd,Doswell,Virginia,23047,37.843384,-77.473917
Natural Bridge / Lexington KOA Holiday,214 Killdeer Lane,Natural Bridge,Virginia,24578,37.659875,-79.562274
Emporia / I-95 KOA,2940 Sussex Drive,Emporia,Virginia,23847,36.670258,-77.550253
Fancy Gap / Blue Ridge Parkway KOA Journey,47 Fox Trail Loop,Fancy Gap,Virginia,24328,36.645356,-80.700836
Lynchburg  / Blue Ridge Parkway KOA Holiday,6252 Elon Rd,Monroe-3012,Virginia,24574,37.57615,-79.253367
Fredericksburg / Washington DC South KOA Holiday,7400 Brookside Lane,Fredericksburg-8856,Virginia,22408,38.220271,-77.443653
Harrisonburg / Shenandoah Valley KOA Holiday,12480 Mountain Valley Road,Broadway,Virginia,22815,38.712509,-78.841209
Charlottesville KOA Holiday,3825 Red Hill RD,Charlottesville,Virginia,22903,38.006972,-78.59506
Cape Charles / Chesapeake Bay KOA Resort,32246 Lankford Highway,Cape Charles,Virginia,23310,37.258993,-75.963657
Rawlins KOA Journey,205 E. Highway 71,Rawlins,Wyoming,82301,41.892016,-107.490595
Lyman KOA Journey,1545 State Highway 413,Lyman,Wyoming,82937,41.34708,-110.264865
Greybull KOA Holiday,399 North 2nd Street,Greybull,Wyoming,82426,44.51284,-107.761207
Dubois / Wind River KOA Holiday,225 Welty Street,Dubois,Wyoming,82513,43.627124,-109.66813
Douglas KOA Journey,168 Cold Springs Road (Highway 91),Douglas,Wyoming,82633,43.020861,-105.41068
Cody KOA Holiday,5561 Greybull Highway,Cody,Wyoming,82414,44.492387,-109.593597
Devils Tower / Black Hills KOA Journey,60 Highway 110,Devils Tower-0100,Wyoming,82714,44.571551,-104.699607
Buffalo KOA Journey,87 US Highway 16 East,Buffalo,Wyoming,82834,44.239738,-106.658714
Casper KOA Journey,1101 Prairie Lane,Bar Nunn,Wyoming,82601,43.05894,-106.439816
Huntington / Fox Fire KOA Holiday,290 Fox Fire Road,Milton,West Virginia,25541,38.480587,-82.130164
Flatwoods KOA Journey,350 Days Drive,Sutton,West Virginia,26601,38.617423,-80.622737
Harpers Ferry / Civil War Battlefields KOA Holiday,343 Campground Road,Harpers Ferry,West Virginia,25425,39.306168,-77.773612
Titusville / Kennedy Space Center KOA Journey,4513 West Main Street,Mims,Florida,32754,28.687109,-80.919193
Sugarloaf Key / Key West KOA Holiday,251 State Road 939,Sugarloaf Key-0469,Florida,33042,24.682083,-81.510666
Starke / Gainesville N.E. KOA Holiday,1475 South Walnut Street,Starke,Florida,32091,29.929564,-82.127579
St. Petersburg / Madeira Beach KOA Holiday,5400 95th Street North,St. Petersburg,Florida,33708,27.817558,-82.801134
St. Augustine Beach KOA Holiday,525 West Pope Road,St Augustine,Florida,32080,29.818745,-81.27286
