address,city,lat,lng,name,state,zip
1114 State Route 20,PO Box 305,,,Winthrop / N. Cascades National Park KOA Holiday,Ontario,PO Bo
8801 Saint Thomas Drive,Pasco,,,Pasco / Tri-Cities KOA Journey,Ontario,99301
80 O'Brien Road,Port Angeles,,,Olympic Peninsula / Port Angeles KOA Journey,Ontario,98362
8717 Line Road,Lynden,,,Lynden / Bellingham KOA Journey,Ontario,98264
167 Schaffran Rd,Castle Rock,,,Longview North / Mount St Helens KOA Journey,Ontario,98611
308 Zelt Strasse,Leavenworth,,,Leavenworth / Pine Village  KOA Holiday,Ontario,98826
6397 North Green Road,Burlington,,,Burlington / Anacortes KOA Holiday,Ontario,98233
1002 McGowen Road,Newport,,,Newport / Little Diamond Lake KOA Holiday,Ontario,99156
1753 Granite Rd.,Colfax,,,Boyer Park & Marina / Snake River KOA Holiday,Ontario,99111
32 S. Thorp Hwy.,Ellensburg,,,Ellensburg KOA Journey,Ontario,98926
7370 Russell Road,Concrete,,,Concrete / Grandy Creek KOA Holiday,Ontario,98237
2000 Lion Country Safari Road,Loxahatchee-3976,,,West Palm Beach / Lion Country Safari KOA Journey,Ontario,33470
457 Bay Center Road,Bay Center,,,Bay Center / Willapa Bay KOA Journey,Ontario,98527
5400 95th Street North,St. Petersburg,,,St. Petersburg / Madeira Beach KOA Holiday,Ontario,33708
4513 West Main Street,Mims,,,Titusville / Kennedy Space Center KOA Journey,Ontario,32754
251 State Road 939,Sugarloaf Key-0469,,,Sugarloaf Key / Key West KOA Holiday,Ontario,33042
525 West Pope Road,St Augustine,,,St. Augustine Beach KOA Holiday,Ontario,32080
3800 W Orange Blossom Trail,Apopka,,,Orlando NW / Orange Blossom KOA Journey,Ontario,32712
1475 South Walnut Street,Starke,,,Starke / Gainesville N.E. KOA Holiday,Ontario,32091
2525 Frontage Road,Davenport,,,Orlando Southwest KOA Holiday,Ontario,33837
3641 South Byron Butler Pkwy,Highway 19 South,,,Perry KOA Holiday,Ontario,Highw
2644 Happy Camper Place,Kissimmee,,,Orlando / Kissimmee KOA Holiday,Ontario,34746
1700 Barefoot Williams Road,Naples,,,Naples / Marco Island KOA Holiday,Ontario,34113
8700 Gulf Pines Drive,Milton,,,Milton / Gulf Pines KOA Holiday,Ontario,32583
5931 Polk Street,Hollywood,,,Hollywood KOA,Ontario,33021
17192 US Hwy 27,Moore Haven,,,Moore Haven KOA Holiday,Ontario,33471
4276 US Highway 441 South,Okeechobee,,,Okeechobee KOA Resort,Ontario,34974
2039 Hamilton Avenue,Jennings,,,Jennings KOA Holiday,Ontario,32053
1821 N. US Hwy 1,Fort Pierce,,,Fort Pierce Downtown KOA Journey,Ontario,34946
3180 S Jenkins Rd,Fort Pierce,,,Fort Pierce West KOA Holiday,Ontario,34981
5120 Stringfellow Road,St. James City,,,Fort Myers / Pine Island KOA Holiday,Ontario,33956
15991 NE 243rd Place Road,Fort McCoy,,,Fort McCoy / Lake Oklawaha KOA Holiday,Ontario,32134
3800 SW 142 Avenue,Davie,,,Davie / Ft. Lauderdale KOA Holiday,Ontario,33330
5500 C.R. 675,Bradenton,,,Bradenton / Hunsader Farms KOA Holiday,Ontario,34211
7820 Kampground Way,North Little Rock,,,Little Rock North / Jct. I-40 KOA Journey,Ontario,72118
37061 US Hwy 19 N,Palm Harbor,,,Clearwater / Lake Tarpon KOA Holiday,Ontario,34684
